"","Movie.name","year","Rating","Synopsis"
"1","The Shining","(1980)","8.4","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
"2","Stranger Things","(2016– )","8.7","
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
"3","The Walking Dead","(2010–2022)","8.3","
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive."
"4","Alien","(1979)","8.5","
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission."
"5","Psycho","(1960)","8.5","
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
"6","World War Z","(2013)","7.0","
Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself."
"7","American Psycho","(2000)","7.6","
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
"8","Zombieland","(2009)","7.6","
A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
"9","Get Out","(I) (2017)","7.7","
A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
"10","Shaun of the Dead","(2004)","7.9","
The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
"11","It","(I) (2017)","7.3","
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
"12","A Quiet Place","(2018)","7.5","
In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
"13","The Conjuring","(2013)","7.5","
Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse."
"14","Split","(IX) (2016)","7.3","
Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
"15","Supernatural","(2005–2020)","8.6","
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
"16","Saw","(2004)","7.6","
Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
"17","The Thing","(1982)","8.2","
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims."
"18","The Cabin in the Woods","(2011)","7.0","
Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
"19","28 Days Later...","(2002)","7.5","
Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
"20","Predator","(1987)","7.8","
A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior."
"21","Cloverfield","(2008)","7.0","
A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack."
"22","The Exorcist","(1973)","8.1","
When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
"23","Sweeney Todd: The Demon Barber of Fleet Street","(2007)","7.4","
The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett."
